task,model,accuracy,roc_auc,sensitivity,specificity,f1,pr_auc
vowels,ConvNeXt-Tiny,0.8424738650140894,0.9313086128635852,0.7812086344443061,0.9028205128205128,0.8417226053102482,0.9313792851539759
vowels,EfficientNet-B0,0.8456331573901595,0.903851289864089,0.8296556467363686,0.8619028340080972,0.8455714229944948,0.9111543826275132
