task,phoneme,model,accuracy,roc_auc,sensitivity,specificity,f1,pr_auc
words,PAPA,EfficientNet-B0,0.8918918918918919,0.9529411764705882,0.9117647058823529,0.875,0.8920502920502921,0.9497833536418379
words,PAPA,ConvNeXt-Tiny,0.8918918918918919,0.9676470588235293,0.8235294117647058,0.95,0.8910875160875161,0.9652680910421167
words,PIPI,EfficientNet-B0,0.8648648648648649,0.8816176470588236,0.7941176470588235,0.925,0.8638593951093951,0.8925404129144214
words,PIPI,ConvNeXt-Tiny,0.8513513513513513,0.8830882352941176,0.7941176470588235,0.9,0.8506074192821181,0.8996160215271838
words,PUPU,EfficientNet-B0,0.875,0.8865578865578866,0.8484848484848485,0.8974358974358975,0.8748296007789678,0.9184426561246022
words,PUPU,ConvNeXt-Tiny,0.9305555555555556,0.9463869463869464,0.8484848484848485,1.0,0.9298011719007176,0.9596581311071984
