task,model,accuracy,roc_auc,sensitivity,specificity,f1,pr_auc
words,ConvNeXt-Tiny,0.8912662662662663,0.9323740801681978,0.8220439691027925,0.9500000000000001,0.8904987024234506,0.9415140812254997
words,EfficientNet-B0,0.8772522522522523,0.9070389033624329,0.8514557338086749,0.8991452991452992,0.8769130959795516,0.9202554742269538
